Node,celltype
Node_P1s_21,CD4p
Node_P1s_22,CD4p
Node_P1s_24,CD4p
Node_P1s_25,CD4p
Node_P1s_31,CD4p
Node_P1s_32,CD4p
Node_P1s_33,CD4p
Node_P1s_34,CD4p
Node_P1s_35,CD4p
Node_P1s_42,CD4p
Node_P1s_43,CD4p
Node_P1s_44,CD4p
Node_P1s_73,CD4p
Node_P1s_74,CD4p
Node_P1s_97,CD4p
Node_P1s_3,CD4p
Node_P1s_4,CD4p
Node_P1s_13,CD4p
Node_P1s_5,CD4p
Node_P1s_1,CD4p
Node_P1s_2,CD4p
Node_P1s_11,CD4p
Node_P1s_12,CD4p
Node_P1s_36,CD4p
Node_P1s_17,CD4p
Node_P1s_26,CD4p
Node_P1s_27,CD4p
Node_P1s_28,CD4p
Node_P1s_41,CD4p
Node_P1s_14,CD4p
Node_P1s_16,CD4p
Node_P1s_29,CD4p
Node_P1s_6,CD4p
Node_P1s_15,CD4p
Node_P1s_10,CD4p
Node_P1s_19,CD4p
Node_P1s_9,CD4p
Node_P1s_8,CD4p
Node_P1s_18,CD4p
Node_P1s_23,CD4p
Node_P1s_20,CD4p
Node_P1s_30,CD4p
Node_P1s_49,CD4p
Node_P1s_100,NK
Node_P1s_78,NK
Node_P1s_80,NK
Node_P1s_99,NK
Node_P1s_77,NK
Node_P1s_87,NK
Node_P1s_89,NK
Node_P1s_90,NK
Node_P1s_45,CD8p
Node_P1s_46,CD8p
Node_P1s_53,CD8p
Node_P1s_54,CD8p
Node_P1s_55,CD8p
Node_P1s_56,CD8p
Node_P1s_57,CD8p
Node_P1s_63,CD8p
Node_P1s_64,CD8p
Node_P1s_65,CD8p
Node_P1s_76,CD8p
Node_P1s_67,CD8p
Node_P1s_79,CD8p
Node_P1s_66,CD8p
Node_P1s_75,CD8p
Node_P1s_69,CD8p
Node_P1s_70,CD8p
Node_P1s_38,CD8p
Node_P1s_39,CD8p
Node_P1s_47,CD8p
Node_P1s_48,CD8p
Node_P1s_58,CD8p
Node_P1s_40,CD8p
Node_P1s_59,CD8p
Node_P1s_37,iT
Node_P1s_68,iT
Node_P1s_50,iT
Node_P1s_60,iT
Node_P1s_7,iT
Node_P1s_62,iT
Node_P1s_88,iT
Node_P2ns_50,Mo_DC
Node_P2ns_97,Mo_DC
Node_P2ns_95,Mo_DC
Node_P2ns_86,Mo_DC
Node_P2ns_85,Mo_DC
Node_P2ns_66,Mo_DC
Node_P2ns_96,Mo_DC
Node_P2ns_76,Mo_DC
Node_P2ns_75,Mo_DC
Node_P2ns_65,Mo_DC
Node_P2ns_87,Mo_DC
Node_P2ns_98,Mo_DC
Node_P2ns_74,Mo_DC
Node_P2ns_84,Mo_DC
Node_P2ns_90,B
Node_P2ns_78,B
Node_P2ns_58,B
Node_P2ns_99,B
Node_P2ns_80,B
Node_P2ns_79,B
Node_P2ns_89,B
Node_P2ns_70,B
Node_P2ns_69,B
Node_P2ns_68,B
Node_P2ns_60,B
Node_P2ns_88,B
